id_base_site	id_base_visit	altitude	longitude	latitude	cd_nom	base_site_name	species	visit_date	visit_year	visit_month	pheno_etape	Percentage	fruits_amount	Region	day_of_year
11499	72300	1080.0	6.871556	45.931083	92606	Noisetier 5	noisetier	2022-04-23	2022	4	Feuillaison	10.0		Mont-Blanc Massif	113
13224	72304	1077.0	6.8704	45.9314	85903	bouleau verruqueux 5	bouleau	2022-04-26	2022	4	Floraison	10.0		Mont-Blanc Massif	116
11484	72306	1070.0	6.8706	45.9315	85903	Bouleau verruqueux 4	bouleau	2022-04-24	2022	4	Feuillaison	10.0		Mont-Blanc Massif	114
11482	72307	1070.0	6.8708	45.9314	85903	Bouleau verruqueux 2	bouleau	2022-04-26	2022	4	Feuillaison	10.0		Mont-Blanc Massif	116
14007	72309	1050.0	6.872554	45.929338	105042	Meleze1		2022-04-23	2022	4	Feuillaison	10.0		Mont-Blanc Massif	113
14012	72310	1050.0	6.872849	45.930319	105042	Meleze3		2022-04-27	2022	4	Feuillaison	10.0		Mont-Blanc Massif	117
14942	72418	1170.0	6.84264779091	45.8967622625	92606	individu 1		2022-04-29	2022	4	Feuillaison	10.0		Mont-Blanc Massif	119
14944	72419	1170.0	6.84264779091	45.8967622625	113703	individu 3		2022-04-29	2022	4	Débourrement	10.0		Mont-Blanc Massif	119
14943	72420	1170.0	6.84264779091	45.8967622625	125391	individu 2		2022-04-17	2022	4	Feuillaison	10.0		Mont-Blanc Massif	107
11021	72451	1080.0	6.981704	45.76662	113432	Epicéa 3		2022-05-02	2022	5	Débourrement	10.0		Mont-Blanc Massif	122
11489	72474	1050.0	6.872167	45.93051	113432	Epicéa 5		2022-04-30	2022	4	Floraison	10.0		Mont-Blanc Massif	120
13428	72475	1045.0	6.8721	45.9306	113432	Epicéa 7		2022-04-30	2022	4	Floraison	10.0		Mont-Blanc Massif	120
13224	72479	1077.0	6.8704	45.9314	85903	bouleau verruqueux 5	bouleau	2022-04-28	2022	4	Feuillaison	10.0		Mont-Blanc Massif	118
11493	72480	1055.0	6.872115	45.93069	98921	Frêne 3		2022-05-02	2022	5	Débourrement	10.0		Mont-Blanc Massif	122
14008	72481	1041.0	6.872565	45.929543	98921	Frene5	frêne	2022-04-28	2022	4	Débourrement	10.0		Mont-Blanc Massif	118
14006	72482	1050.0	6.872527	45.929321	97947	Hetre1		2022-05-02	2022	5	Débourrement	10.0		Mont-Blanc Massif	122
11496	72485	1070.0	6.870763	45.931039	92606	Noisetier 2	noisetier	2022-04-22	2022	4	Feuillaison	10.0		Mont-Blanc Massif	112
13927	72492	820.0	6.767353	45.931385	125391	Lilas3		2022-04-30	2022	4	Floraison	10.0		Mont-Blanc Massif	120
13811	72493	820.0	6.769606	45.930688	113432	Epicea2		2022-05-02	2022	5	Débourrement	10.0		Mont-Blanc Massif	122
13812	72494	820.0	6.769547	45.930711	113432	Epicea3		2022-05-02	2022	5	Débourrement	10.0		Mont-Blanc Massif	122
13806	72495	820.0	6.769528	45.931319	98921	Frene2	frêne	2022-04-29	2022	4	Débourrement	10.0		Mont-Blanc Massif	119
14459	72496	830.0	6.770968	45.931558	97947	Hetre_haut		2022-05-02	2022	5	Débourrement	10.0		Mont-Blanc Massif	122
